"index","item_no","length","width","height","operator"
"0","1","102.67","49.53","19.69","Op-1"
"1","2","102.5","51.42","19.63","Op-1"
"2","3","95.37","52.25","21.51","Op-1"
"3","4","94.77","49.24","18.6","Op-1"
"4","5","104.26","47.9","19.46","Op-1"
"5","6","105.18","49.39","20.36","Op-1"
"6","7","97.35","48.05","20.22","Op-1"
"7","8","99.35","44.59","21.03","Op-1"
"8","9","90.62","47.29","19.78","Op-1"
"9","10","97.22","52.14","20.71","Op-1"
"10","11","100","54.76","20.62","Op-1"
"11","12","97.23","48.26","19.51","Op-1"
"12","13","105.72","50.04","20.06","Op-1"
"13","14","89.82","45.98","20.3","Op-1"
"14","15","99.17","53.54","20.25","Op-1"
"15","16","95.51","45.36","20.52","Op-1"
"16","17","107.69","48.18","19.33","Op-1"
"17","18","106.83","50.81","19.12","Op-1"
"18","19","98.73","55.76","19.37","Op-1"
"19","20","94.31","48.74","18.8","Op-1"
"20","21","104.87","49.73","19.94","Op-1"
"21","22","98.06","48.39","19.79","Op-1"
"22","23","108.45","44.46","22.31","Op-1"
"23","24","95.34","46.03","20.17","Op-1"
"24","25","97.66","50.69","19.54","Op-1"
"25","26","102.66","50.76","21.22","Op-1"
"26","27","95.69","49.48","17.37","Op-2"
"27","28","105.88","49.53","18.7","Op-2"
"28","29","101.68","52.79","19.42","Op-2"
"29","30","93.54","51.05","19.29","Op-2"
"30","31","99.66","48.4","20.64","Op-2"
"31","32","98.38","46.79","21.27","Op-2"
"32","33","95.53","53.83","23.11","Op-2"
"33","34","100.53","50","21.13","Op-2"
"34","35","95.67","49.64","21.92","Op-2"
"35","36","101.86","50.45","18.05","Op-2"
"36","37","105.22","54.61","20.64","Op-2"
"37","38","101.86","49.85","19.15","Op-2"
"38","39","97.19","49.9","19.04","Op-2"
"39","40","103","48.81","19.39","Op-2"
"40","41","100.57","53.52","19.98","Op-2"
"41","42","110.54","51.07","21.95","Op-2"
"42","43","109.22","45.24","20.05","Op-2"
"43","44","92.52","49.04","19.92","Op-2"
"44","45","107.05","49.01","18.97","Op-2"
"45","46","106.53","48.55","19.2","Op-2"
"46","47","101.21","47.61","21.39","Op-2"
"47","48","101.09","48.28","20.04","Op-2"
"48","49","95.61","46.3","20.31","Op-2"
"49","50","104.45","48.71","19.51","Op-2"
"50","51","93.28","48.08","19.64","Op-2"
"51","52","107.67","52.03","20.69","Op-3"
"52","53","107.5","53.92","20.63","Op-3"
"53","54","100.37","54.75","22.51","Op-3"
"54","55","99.77","51.74","19.6","Op-3"
"55","56","109.26","50.4","20.46","Op-3"
"56","57","110.18","51.89","21.36","Op-3"
"57","58","102.35","50.55","21.22","Op-3"
"58","59","104.35","47.09","22.03","Op-3"
"59","60","95.62","49.79","20.78","Op-3"
"60","61","102.22","54.64","21.71","Op-3"
"61","62","105","57.26","21.62","Op-3"
"62","63","102.23","50.76","20.51","Op-3"
"63","64","110.72","52.54","21.06","Op-3"
"64","65","94.82","48.48","21.3","Op-3"
"65","66","104.17","56.04","21.25","Op-3"
"66","67","100.51","47.86","21.52","Op-3"
"67","68","112.69","50.68","20.33","Op-3"
"68","69","111.83","53.31","20.12","Op-3"
"69","70","103.73","58.26","20.37","Op-3"
"70","71","99.31","51.24","19.8","Op-3"
"71","72","109.87","52.23","20.94","Op-3"
"72","73","103.06","50.89","20.79","Op-3"
"73","74","113.45","46.96","23.31","Op-3"
"74","75","100.34","48.53","21.17","Op-3"
"75","76","102.66","53.19","20.54","Op-3"
"76","77","104.17","47.09","19.51","Op-3"
"77","78","100.51","51.24","21.17","Op-3"
"78","79","100.37","48.53","21.39","Op-3"
"79","80","98.38","54.76","20.64","Op-3"
"80","81","102.67","49.53","19.69","Op-4"
"81","82","92.19","47.4","18.04","Op-4"
"82","83","98","46.31","18.39","Op-4"
"83","84","95.57","51.02","18.98","Op-4"
"84","85","105.54","48.57","20.95","Op-4"
"85","86","104.22","42.74","19.05","Op-4"
"86","87","87.52","46.54","18.92","Op-4"
"87","88","102.05","46.51","17.97","Op-4"
"88","89","101.53","46.05","18.2","Op-4"
"89","90","96.21","45.11","20.39","Op-4"
"90","91","96.09","45.78","19.04","Op-4"
"91","92","90.61","43.8","19.31","Op-4"
"92","93","99.45","46.21","18.51","Op-4"
"93","94","88.28","45.58","18.64","Op-4"
"94","95","102.67","49.53","19.69","Op-4"
"95","96","102.5","51.42","19.63","Op-4"
"96","97","95.37","52.25","21.51","Op-4"
"97","98","94.77","49.24","18.6","Op-4"
"98","99","104.26","47.9","19.46","Op-4"
"99","100","105.18","49.39","20.36","Op-4"
"100","101","97.35","48.05","20.22","Op-4"
"101","102","108.2","52.15","20.91","Op-5"
"102","103","97.72","50.02","19.26","Op-5"
"103","104","103.53","48.93","19.61","Op-5"
"104","105","101.1","53.64","20.2","Op-5"
"105","106","111.07","51.19","22.17","Op-5"
"106","107","109.75","45.36","20.27","Op-5"
"107","108","93.05","49.16","20.14","Op-5"
"108","109","107.58","49.13","19.19","Op-5"
"109","110","107.06","48.67","19.42","Op-5"
"110","111","101.74","47.73","21.61","Op-5"
"111","112","101.62","48.4","20.26","Op-5"
"112","113","96.14","46.42","20.53","Op-5"
"113","114","104.98","48.83","19.73","Op-5"
"114","115","93.81","48.2","19.86","Op-5"
"115","116","108.2","52.15","20.91","Op-5"
"116","117","108.03","54.04","20.85","Op-5"
"117","118","100.9","54.87","22.73","Op-5"
"118","119","100.3","51.86","19.82","Op-5"
"119","120","109.79","50.52","20.68","Op-5"
"120","121","110.71","52.01","21.58","Op-5"
"121","122","102.88","50.67","21.44","Op-5"
"122","123","113.73","54.77","22.13","Op-5"
"123","124","103.25","52.64","20.48","Op-5"
"124","125","109.06","51.55","20.83","Op-5"
"125","126","106.63","56.26","21.42","Op-5"
"126","127","116.6","53.81","23.39","Op-5"
"127","128","115.28","47.98","21.49","Op-5"
"128","129","98.58","51.78","21.36","Op-5"
"129","130","113.11","51.75","20.41","Op-5"
"130","131","112.59","51.29","20.64","Op-5"
"131","132","107.27","50.35","22.83","Op-5"
"132","133","107.15","51.02","21.48","Op-5"
"133","134","101.67","49.04","21.75","Op-5"
"134","135","100.23","50.03","20.02","Op-6"
"135","136","100.08","48.8","20.45","Op-6"
"136","137","100.67","48.35","20.16","Op-6"
"137","138","99.49","48.44","20.68","Op-6"
"138","139","99.79","49.88","20.79","Op-6"
"139","140","99.66","49.72","20.3","Op-6"
"140","141","100.08","50.55","20.02","Op-6"
"141","142","101.14","50.16","20.28","Op-6"
"142","143","101.59","49.66","20.23","Op-6"
"143","144","100.58","48.99","20.32","Op-6"
"144","145","100.65","48.19","20.81","Op-6"
"145","146","100.49","48.36","20.27","Op-6"
"146","147","99.99","48.87","20.38","Op-6"
"147","148","99.53","48.55","20.71","Op-6"
"148","149","100.98","48.74","20.96","Op-6"
"149","150","100.61","49.69","20.98","Op-6"
"150","151","99.53","48.54","20.21","Op-6"
"151","152","99.08","48.88","20.43","Op-6"
"152","153","96.38","48.45","19.51","Op-7"
"153","154","98.27","52.28","20.24","Op-7"
"154","155","99.07","52.07","19.08","Op-7"
"155","156","95.72","48.36","19.58","Op-7"
"156","157","99.65","52.61","18.66","Op-7"
"157","158","102.3","47.13","21.19","Op-7"
"158","159","94.47","50.04","20.76","Op-7"
"159","160","98.32","48.32","21.43","Op-7"
"160","161","98.68","51.72","19.29","Op-7"
"161","162","95.02","52.87","21.98","Op-7"
"162","163","101.41","51.4","21.32","Op-7"
"163","164","95.32","50.53","19.2","Op-7"
"164","165","99.11","48.15","19.87","Op-7"
"165","166","94.52","51.11","18.63","Op-7"
"166","167","102.7","47.06","21.06","Op-7"
"167","168","98.62","49.4","19.75","Op-7"
"168","169","101.05","50.61","19.44","Op-7"
"169","170","97","51.93","18.61","Op-7"
"170","171","100.5","50","19","Op-7"
"171","172","98.51","49.94","20.6","Op-7"
"172","173","95.33","47.09","21.47","Op-7"
"173","174","97.65","51.93","21.66","Op-7"
"174","175","100.03","52.76","20.45","Op-7"
"175","176","96.89","50.69","20.42","Op-7"
"176","177","95.55","47.13","21.1","Op-7"
"177","178","97.13","49.06","21.21","Op-7"
"178","179","96.4","47.71","18.72","Op-7"
"179","180","94.33","48.89","20.2","Op-7"
